City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nguigmi,14.2495,13.1092,31.31,21,100,2.23,NE,1683824689
83,kendari,-3.945,122.4989,24.35,95,42,1.57,ID,1683824689
84,san agustin de valle fertil,-30.6335,-67.4682,19.93,50,70,3.05,AR,1683824689
85,thunder bay,48.4001,-89.3168,20.99,64,40,14.92,CA,1683824450
86,chardara,41.2547,67.9692,24.21,37,92,3.76,KZ,1683824690
87,juneau,58.3019,-134.4197,11.79,94,100,2.81,US,1683824514
88,kerikeri,-35.2268,173.9474,10.08,81,5,3.24,NZ,1683824691
89,hotan,37.0997,79.9269,18.92,9,0,3.75,CN,1683824691
90,jackson,42.4165,-122.8345,15.4,72,77,0.89,US,1683824434
91,jamestown,42.097,-79.2353,23.62,40,0,5.14,US,1683824576
92,khandyga,62.6667,135.6,0.97,99,100,0.73,RU,1683824692
93,castillos,-34.1667,-53.8333,16.69,61,75,3.83,UY,1683824472
94,yemva,62.59,50.8594,9.46,59,75,2.69,RU,1683824692
95,saldanha,-33.0117,17.9442,15.03,67,100,9.99,ZA,1683824693
96,lauro de freitas,-12.8944,-38.3272,26.01,89,75,4.63,BR,1683824674
97,papatowai,-46.5619,169.4708,10.59,86,92,6.84,NZ,1683824693
98,inhambane,-23.865,35.3833,25.0,73,20,2.24,MZ,1683824694
99,ust'-kut,56.7938,105.7672,0.07,73,45,1.63,RU,1683824694
100,glendive,47.1053,-104.7125,18.75,63,100,6.17,US,1683824694
101,ji'an,27.1172,114.9793,16.21,94,99,0.91,CN,1683824694
102,bedford,52.1346,-0.4663,19.02,66,28,2.55,GB,1683824458
103,porto novo,6.4965,2.6036,31.9,71,78,4.18,BJ,1683824552
104,siran,40.1894,39.1267,13.69,75,98,1.93,TR,1683824655
105,la gi,10.6667,107.7833,27.77,79,100,2.95,VN,1683824695
106,fuerte olimpo,-21.0415,-57.8738,28.27,39,97,2.65,PY,1683824696
107,waitangi,-43.9535,-176.5597,10.87,54,92,9.56,NZ,1683824696
108,udachny,66.4167,112.4,0.25,80,100,9.11,RU,1683824696
109,ust-nera,64.5667,143.2,-0.58,89,91,2.06,RU,1683824697
